55,CEFAZOLIN,J01DB04,Kháng sinh nhóm Cephalosporin thế hệ 1.,"Bột pha tiêm 500 mg, 1 g.","Kefzol, Cefamezin.","Quá mẫn với Cephalosporin, Penicillin.",Probenecid; Thuốc chống đông máu.
56,CEFOTAXIME,J01DD01,Kháng sinh nhóm Cephalosporin thế hệ 3.,"Bột pha tiêm 500 mg, 1 g.","Claforan, Cefotax.","Quá mẫn với Cephalosporin, Penicillin.",Probenecid (kéo dài thời gian bán thải); Aminoglycosid (tăng độc tính thận).
57,CEFTRIAXONE,J01DD04,Kháng sinh nhóm Cephalosporin thế hệ 3.,"Bột pha tiêm 500 mg, 1 g.","Rocephin, Ceftrax.",Quá mẫn với Cephalosporin. Trẻ sơ sinh vàng da (nguy cơ bệnh não do Bilirubin); Dùng đồng thời với dung dịch Calci IV.,Dung dịch Calci IV (nguy cơ tủa); Thuốc chống đông máu (tăng tác dụng).
58,CEFUROXIME,J01DC02,Kháng sinh nhóm Cephalosporin thế hệ 2.,"Viên nén 250 mg, 500 mg; Bột pha tiêm 750 mg, 1,5 g.","Zinnat, Zinacef.","Quá mẫn với Cephalosporin, Penicillin.",Probenecid; Thuốc kháng acid (giảm hấp thu dạng uống).
59,CETIRIZINE,R06AE07,Thuốc kháng Histamin H1 thế hệ 2.,"Viên nén 5 mg, 10 mg; Dung dịch uống 5 mg/5 ml.","Zyrtec, Cetiz.",Quá mẫn; Suy thận nặng.,Rượu (tăng ức chế TKTW); Theophylline (giảm thanh thải Cetirizine).
60,CHLORAMPHENICOL,J01BA01,Kháng sinh.,Viên nang 250 mg; Thuốc tiêm 1 g/4 ml; Thuốc mỡ/nhỏ mắt.,Chloromycetin.,Quá mẫn; Rối loạn tạo máu nặng; Trẻ sơ sinh (nguy cơ hội chứng xám).,"Warfarin (tăng tác dụng chống đông); Phenytoin, Phenobarbital (tăng nồng độ)."
61,CHLOROQUINE,P01BA01,Thuốc chống sốt rét.,Viên nén 150 mg (Base).,Nivaquine.,"Quá mẫn; Bệnh võng mạc, tổn thương thị giác; Bệnh vảy nến.",Thuốc kháng acid (giảm hấp thu); Mefloquine (tăng nguy cơ co giật); Cyclosporine.
62,CHLORPHENIRAMINE,R06AB04,Thuốc kháng Histamin H1 thế hệ 1.,Viên nén 4 mg; Thuốc tiêm 10 mg/ml.,Chlor-Trimeton.,"Glôcôm góc đóng; Tắc nghẽn đường tiểu, phì đại tiền liệt tuyến.","Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc ức chế MAO (tăng tác dụng phụ kháng cholinergic)."
63,CHLORPROMAZINE,N05AA01,Thuốc chống loạn thần (Phenothiazine).,"Viên nén 25 mg, 100 mg; Thuốc tiêm 25 mg/ml.",Largactil.,Hôn mê; Suy tủy nặng; Tổn thương gan nặng.,"Rượu, Barbiturat (tăng ức chế TKTW); Thuốc hạ huyết áp; Antacid (giảm hấp thu)."
64,CIMETIDINE,A02BA01,Thuốc kháng Histamin H2.,"Viên nén 200 mg, 400 mg.","Tagamet, Cimet.",Quá mẫn.,"Warfarin, Phenytoin, Theophylline (tăng nồng độ do ức chế CYP450); Metformin."
65,CIPROFLOXACIN,J01MA02,Kháng sinh nhóm Fluoroquinolone.,"Viên nén 250 mg, 500 mg; Thuốc tiêm 200 mg/100 ml.","Cipro, Ciprobay.","Quá mẫn với Quinolone; Đang dùng Tizanidine; Trẻ em, thiếu G6PD.","Tizanidine (tăng độc tính); Thuốc kháng acid, Sắt, Kẽm (giảm hấp thu); Theophylline, Warfarin."
66,CISPLATIN,L01XA01,Thuốc chống ung thư; Hợp chất Platin.,"Bột pha tiêm 10 mg, 50 mg.",Platinol.,Suy thận/tủy nặng; Tổn thương thính giác; Có thai.,"Aminoglycosid (tăng độc tính tai/thận); Furosemide, Paclitaxel."
67,CLARITHROMYCIN,J01FA09,Kháng sinh nhóm Macrolide.,"Viên nén 250 mg, 500 mg; Hỗn dịch uống 125 mg/5 ml.","Klacid, Clacin.","Quá mẫn với Macrolide; Loạn nhịp tim (QT kéo dài); Đang dùng Terfenadine, Cisapride, Astemizole.","Simvastatin, Atorvastatin (tăng nguy cơ tiêu cơ vân); Warfarin; Thuốc ức chế CYP3A4 (Digoxin, Carbamazepine)."
68,CLINDAMYCIN,J01FF01,Kháng sinh nhóm Lincosamide.,"Viên nang 150 mg, 300 mg; Thuốc tiêm 300 mg/2 ml.",Dalacin C.,Quá mẫn; Tiền sử viêm ruột kết liên quan kháng sinh.,Thuốc chẹn thần kinh cơ (tăng tác dụng); Erythromycin (đối kháng tác dụng).
69,CLOFAZIMINE,J04BA01,Thuốc điều trị phong.,"Viên nang 50 mg, 100 mg.",Lamprene.,Quá mẫn.,Không có tương tác thuốc đáng kể.
70,CLOFIBRATE,C10AB01,Thuốc hạ lipid máu.,Viên nang 500 mg.,Atromid-S.,"Suy gan/thận nặng; Xơ gan mật nguyên phát; Có thai, cho con bú.",Warfarin (tăng tác dụng chống đông); Thuốc hạ đường huyết (tăng tác dụng).
71,CLOMIPRAMINE,N06AA04,Thuốc chống trầm cảm ba vòng.,"Viên nén 10 mg, 25 mg, 50 mg.",Anafranil.,Đang dùng Thuốc ức chế MAO; Giai đoạn phục hồi sau nhồi máu cơ tim.,"Thuốc ức chế MAO; Rượu, Benzodiazepine; Cimetidine (tăng nồng độ)."
72,CLONAZEPAM,N03AE01,"Thuốc chống động kinh, Benzodiazepine.","Viên nén 0,5 mg, 2 mg.","Klonopin, Rivotril.",Glôcôm góc đóng; Suy hô hấp cấp; Suy gan nặng; Quá mẫn.,"Rượu, Thuốc ức chế TKTW (tăng ức chế); Thuốc chống động kinh khác (tăng/giảm nồng độ)."
73,CLONIDINE,C02AC01,Thuốc hạ huyết áp; Thuốc chủ vận Alpha-2.,"Viên nén 0,1 mg; Thuốc tiêm 150 mcg/ml.",Catapres.,Nhịp tim chậm nặng; Quá mẫn.,Thuốc chẹn beta (nguy cơ tăng huyết áp khi ngừng Clonidine); Thuốc chống trầm cảm ba vòng (giảm tác dụng hạ huyết áp); Rượu.
74,CLOPIDOGREL,B01AC04,Thuốc chống kết tập tiểu cầu.,Viên nén 75 mg.,"Plavix, Agrelan.",Xuất huyết nội đang hoạt động (như loét); Suy gan nặng; Quá mẫn.,"Omeprazole/Esomeprazole (ức chế CYP2C19, giảm tác dụng); Warfarin, NSAIDs (tăng nguy cơ chảy máu)."
75,CLOTRIMAZOLE,D01AC01,Thuốc chống nấm tại chỗ.,"Kem bôi 1%; Viên đặt âm đạo 100 mg, 500 mg.","Canesten, Clotrimin.",Quá mẫn.,Không có tương tác thuốc toàn thân đáng kể.
76,CLOXACILLIN,J01CF02,Kháng sinh nhóm Penicillin kháng Penicillinase.,"Viên nang 250 mg, 500 mg; Bột pha tiêm 500 mg, 1 g.",Cloxacap.,"Quá mẫn với Penicillin, Cephalosporin.",Probenecid; Thuốc tránh thai đường uống.
77,CODEINE,R05DA04,Thuốc giảm đau Opioid; Thuốc giảm ho trung ương.,"Viên nén 10 mg, 30 mg (thường phối hợp).","Codepect, Neo-Codion.",Suy hô hấp cấp; Trẻ em dưới 12 tuổi; Chuyển hóa cực nhanh (ultrarapid metabolizers).,"Rượu, Benzodiazepine (tăng ức chế TKTW); Thuốc ức chế MAO."
78,COLCHICINE,M04AC01,Thuốc điều trị Gout cấp.,"Viên nén 0,5 mg, 1 mg.",Colchicine.,Rối loạn tạo máu; Suy thận/gan nặng; Có thai.,"Cyclosporine, Clarithromycin, Diltiazem (tăng nồng độ Colchicine, nguy cơ độc tính)."
79,CORTISONE,H02AB02,Corticosteroid.,Viên nén 25 mg.,Cortone.,Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"Rifampicin, Phenytoin (giảm nồng độ); NSAIDs, Thuốc lợi tiểu quai."
80,CYCLOPHOSPHAMIDE,L01AA01,Thuốc chống ung thư; Thuốc ức chế miễn dịch.,"Viên nén 50 mg; Bột pha tiêm 100 mg, 500 mg.",Cytoxan.,Suy tủy nặng; Viêm bàng quang cấp; Nhiễm khuẩn cấp chưa kiểm soát.,"Allopurinol, Thuốc lợi tiểu Thiazid (tăng độc tính tủy); Succinylcholine."
81,CYCLOSPORINE,L04AD01,Thuốc ức chế miễn dịch.,"Viên nang 25 mg, 100 mg; Dung dịch uống.","Sandimmune, Neoral.",Quá mẫn; Suy thận không kiểm soát; Tăng huyết áp không kiểm soát.,"Thuốc ức chế CYP3A4 (Ketoconazole, Erythromycin); Thuốc cảm ứng CYP3A4 (Rifampicin, Phenytoin); Aminoglycosid (tăng độc tính thận)."
82,CYPROHEPTADINE,R06AX02,Thuốc kháng Histamin H1; Kích thích thèm ăn.,Viên nén 4 mg.,Periactin.,Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh.,"Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc ức chế MAO."
83,DANTROLENE,M03CA01,Thuốc giãn cơ.,"Viên nang 25 mg, 50 mg, 100 mg.",Dantrium.,Bệnh gan hoạt động; Nhược cơ cần duy trì sức mạnh cơ.,Thuốc chẹn kênh canxi (nguy cơ độc tim); Estrogen.
84,DAPSONE,J04BA02,Thuốc điều trị phong.,"Viên nén 50 mg, 100 mg.",Avlosulfon.,Quá mẫn; Thiếu G6PD (cần thận trọng).,Rifampicin (giảm nồng độ Dapsone); Probenecid (tăng nồng độ Dapsone).
85,DEFEROXAMINE,V03AC01,Thuốc thải sắt.,Bột pha tiêm 500 mg.,Desferal.,Suy thận nặng; Có thai.,Vitamin C (dùng liều cao có thể gây độc tim).
