inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
ACID PARA - AMINOBENZOIC,"Thuốc bảo vệ da, chống nắng.",['PABA'],['Kem bôi ngoài da 5%'],acid para - aminobenzoic,d02aa01,"thuoc bao ve da, chong nang.",['kem boi ngoai da 5%'],['paba'],"['paba', 'boi', 'nang', 'd02aa01', 'ngoai', '5%', 'acid', 'aminobenzoic', 'thuoc', 'bao', 'kem', 'chong', 'da', 've', 'para']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
ACID PIPEMIDIC,Thuốc kháng khuẩn nhóm Quinolone.,"['Pipem', 'Uronid']","['Viên nang 200 mg', 'Viên nang 400 mg']",acid pipemidic,j01mb04,thuoc khang khuan nhom quinolone.,"['vien nang 200mg', 'vien nang 400mg']","['pipem', 'uronid']","['khuan', 'vien', 'nhom', 'nang', 'acid', 'thuoc', 'uronid', 'quinolone', '200mg', '400mg', 'pipem', 'j01mb04', 'pipemidic', 'khang']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']","Quá mẫn; Tiền sử co giật, suy thận/gan nặng.","{""infectious""}"
ACID TRANEXAMIC,Thuốc chống tiêu sợi huyết.,"['Transamin', 'Cyklokapron']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Thuốc tiêm 500 mg/5 ml']",acid tranexamic,b02aa02,thuoc chong tieu soi huyet.,"['vien nen 250mg', 'vien nen 500mg', 'thuoc tiem 500mg/5ml']","['transamin', 'cyklokapron']","['vien', 'acid', 'thuoc', '250mg', 'cyklokapron', 'huyet', 'soi', 'chong', 'tieu', '500mg/5ml', 'tiem', 'b02aa02', 'nen', '500mg', 'tranexamic', 'transamin']",[],"{""oral"",""injection""}",False,,['renal_adjust'],"Huyết khối cấp tính (trừ trường hợp xuất huyết), suy thận nặng.","{""hematology""}"
ADRENALINE (EPINEPHRINE),Thuốc cường giao cảm; Thuốc điều trị sốc phản vệ.,"['Adrenalin', 'Epinephrine']",['Thuốc tiêm 1 mg/ml'],adrenaline (epinephrine),c01ca24,thuoc cuong giao cam; thuoc dieu tri soc phan ve.,['thuoc tiem 1mg/ml'],"['adrenalin', 'epinephrine']","['c01ca24', 'dieu', 'cam', '1mg/ml', 'giao', 'phan', 'thuoc', 've', 'soc', 'tiem', 'cuong', 'epinephrine', 'tri', 'adrenalin', 'adrenaline']",[],"{""injection""}",False,,['renal_adjust'],Glôcôm góc đóng; Bệnh tim mạch nặng (trừ khi dùng cho sốc phản vệ); Đang dùng thuốc gây mê toàn thân (Halothane).,"{""cardiology""}"
ALBENDAZOLE,Thuốc trị giun sán.,"['Zentel', 'Alzental']","['Viên nén 200 mg', 'Viên nén 400 mg', 'Hỗn dịch uống 400 mg/10 ml']",albendazole,p02ca03,thuoc tri giun san.,"['vien nen 200mg', 'vien nen 400mg', 'hon dich uong 400mg/10ml']","['zentel', 'alzental']","['vien', 'alzental', 'san', 'giun', '400mg/10ml', 'p02ca03', 'hon', 'thuoc', 'dich', '200mg', 'uong', 'albendazole', '400mg', 'tri', 'nen', 'zentel']",[],"{""oral""}",True,2.0,[],"Quá mẫn; Có thai, cho con bú; Trẻ em dưới 2 tuổi (một số trường hợp).",{}
ALBUMIN NGƯỜI,Dung dịch thay thế huyết tương.,['Human Albumin'],"['Dung dịch tiêm truyền 5%', 'Dung dịch tiêm truyền 20%', 'Dung dịch tiêm truyền 25%']",albumin nguoi,b05aa01,dung dich thay the huyet tuong.,"['dung dich tiem truyen 5%', 'dung dich tiem truyen 20%', 'dung dich tiem truyen 25%']",['human albumin'],"['human', 'thay', 'b05aa01', '20%', 'truyen', '5%', 'dung', '25%', 'dich', 'the', 'albumin', 'tiem', 'nguoi', 'tuong', 'huyet']",[],"{""injection""}",False,,[],Thiếu máu nặng; Suy tim; Quá mẫn.,{}
ALMAGAT,Thuốc kháng acid.,['Almagate'],"['Viên nén 400 mg', 'Hỗn dịch uống']",almagat,a02ad03,thuoc khang acid.,"['vien nen 400mg', 'hon dich uong']",['almagate'],"['vien', 'almagate', 'acid', 'thuoc', 'hon', 'dich', 'uong', 'a02ad03', '400mg', 'nen', 'almagat', 'khang']",[],"{""oral""}",True,,['renal_adjust'],Quá mẫn; Suy thận nặng; Giảm phosphat máu.,"{""gastro""}"
ALLOPURINOL,Thuốc điều trị Gout; Thuốc ức chế men xanthin oxidase.,"['Zyloric', 'Allop']","['Viên nén 100 mg', 'Viên nén 300 mg']",allopurinol,m04aa01,thuoc dieu tri gout; thuoc uc che men xanthin oxidase.,"['vien nen 100mg', 'vien nen 300mg']","['zyloric', 'allop']","['che', 'nen', 'xanthin', 'dieu', 'vien', '100mg', 'thuoc', 'men', 'allop', 'm04aa01', 'gout', 'tri', 'uc', 'oxidase', 'zyloric', 'allopurinol', '300mg']",[],"{""oral""}",False,,[],Quá mẫn; Cơn Gout cấp tính (không nên bắt đầu).,"{""rheumatology""}"
ALPRAZOLAM,Thuốc giải lo âu nhóm Benzodiazepine.,"['Xanax', 'Alprax']","['Viên nén 0', 'Viên nén 25 mg', 'Viên nén 0', 'Viên nén 5 mg', 'Viên nén 1 mg']",alprazolam,n05ba12,thuoc giai lo au nhom benzodiazepine.,"['vien nen 0', 'vien nen 25mg', 'vien nen 0', 'vien nen 5mg', 'vien nen 1mg']","['xanax', 'alprax']","['vien', 'alprazolam', 'nhom', 'thuoc', '5mg', 'au', 'giai', 'benzodiazepine', '0', '1mg', 'xanax', '25mg', 'nen', 'alprax', 'n05ba12', 'lo']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Quá mẫn; Phụ nữ có thai 3 tháng đầu.,"{""psychiatry""}"
ALUMINIUM HYDROXIDE,Thuốc kháng acid.,"['Maalox (thường phối hợp)', 'Alumagel']","['Viên nén 500 mg', 'Hỗn dịch uống']",aluminium hydroxide,a02ab01,thuoc khang acid.,"['vien nen 500mg', 'hon dich uong']","['maalox (thuong phoi hop)', 'alumagel']","['alumagel', 'vien', 'aluminium', 'maalox', 'thuong', 'acid', 'thuoc', 'hon', 'dich', 'hydroxide', 'uong', 'a02ab01', 'nen', '500mg', 'phoi', 'hop', 'khang']",[],"{""oral""}",True,,['renal_adjust'],Suy thận nặng; Giảm phosphat máu.,"{""gastro""}"
AMANTADINE,Thuốc kháng virus; Thuốc chống Parkinson.,['Symmetrel'],['Viên nang 100 mg'],amantadine,n04bb01,thuoc khang virus; thuoc chong parkinson.,['vien nang 100mg'],['symmetrel'],"['100mg', 'amantadine', 'vien', 'nang', 'n04bb01', 'thuoc', 'chong', 'virus', 'parkinson', 'symmetrel', 'khang']",[],"{""oral""}",False,,['renal_adjust'],"Quá mẫn; Suy tim sung huyết, suy thận nặng; Loét dạ dày tiến triển.","{""neurology""}"
AMIKACIN,Kháng sinh nhóm Aminoglycosid.,"['Amikin', 'Amiglyde']","['Thuốc tiêm 250 mg/ml', 'Thuốc tiêm 500 mg/2 ml']",amikacin,j01gb06,khang sinh nhom aminoglycosid.,"['thuoc tiem 250mg/ml', 'thuoc tiem 500mg/2ml']","['amikin', 'amiglyde']","['j01gb06', '500mg/2ml', 'nhom', 'amikacin', 'amikin', 'sinh', 'thuoc', '250mg/ml', 'tiem', 'aminoglycosid', 'khang', 'amiglyde']",[],"{""injection""}",False,,[],Quá mẫn với Aminoglycosid; Tổn thương thính giác hoặc tiền đình.,"{""infectious""}"
AMINOPHYLLINE,Thuốc giãn phế quản.,['Aminophyllin'],"['Viên nén 100 mg', 'Viên nén 200 mg', 'Thuốc tiêm 250 mg/10 ml']",aminophylline,r03da05,thuoc gian phe quan.,"['vien nen 100mg', 'vien nen 200mg', 'thuoc tiem 250mg/10ml']",['aminophyllin'],"['nen', '100mg', 'gian', 'vien', 'aminophylline', 'thuoc', 'aminophyllin', 'quan', '200mg', '250mg/10ml', 'tiem', 'r03da05', 'phe']",[],"{""oral"",""injection""}",False,,[],Quá mẫn với Xanthine; Loét dạ dày tá tràng tiến triển; Động kinh không kiểm soát.,"{""respiratory""}"
AMIODARONE,Thuốc chống loạn nhịp nhóm III.,"['Cordarone', 'Sedacoron']","['Viên nén 200 mg', 'Thuốc tiêm 150 mg/3 ml']",amiodarone,c01bd01,thuoc chong loan nhip nhom iii.,"['vien nen 200mg', 'thuoc tiem 150mg/3ml']","['cordarone', 'sedacoron']","['nhip', 'c01bd01', 'iii', 'nhom', 'vien', 'cordarone', 'loan', 'thuoc', '200mg', 'chong', '150mg/3ml', 'sedacoron', 'tiem', 'nen', 'amiodarone']",[],"{""oral"",""injection""}",False,,['pregnancy_risk'],"Nhịp chậm xoang, Block nhĩ thất độ 2/3; Rối loạn chức năng tuyến giáp; Phụ nữ có thai.","{""cardiology""}"
AMITRIPTYLINE,Thuốc chống trầm cảm ba vòng.,"['Elavil', 'Saroten']","['Viên nén 10 mg', 'Viên nén 25 mg']",amitriptyline,n06aa09,thuoc chong tram cam ba vong.,"['vien nen 10mg', 'vien nen 25mg']","['elavil', 'saroten']","['10mg', 'vien', 'cam', 'tram', 'ba', 'vong', 'thuoc', 'saroten', 'amitriptyline', 'chong', 'n06aa09', '25mg', 'nen', 'elavil']",[],"{""oral""}",False,,[],Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin); Giai đoạn phục hồi sau nhồi máu cơ tim cấp.,"{""psychiatry""}"
AMLODIPINE,Thuốc chẹn kênh canxi.,"['Norvasc', 'Amlor']","['Viên nén 5 mg', 'Viên nén 10 mg']",amlodipine,c08ca01,thuoc chen kenh canxi.,"['vien nen 5mg', 'vien nen 10mg']","['norvasc', 'amlor']","['c08ca01', 'nen', 'vien', '10mg', 'norvasc', 'kenh', 'thuoc', '5mg', 'canxi', 'amlodipine', 'chen', 'amlor']",[],"{""oral""}",False,,[],Sốc tim; Tắc nghẽn đường ra thất trái; Quá mẫn.,"{""cardiology""}"
AMOXICILLIN,Kháng sinh nhóm Penicillin.,"['Amoxil', 'Curam', 'Augmentin (phối hợp)']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Hỗn dịch uống 125 mg/5 ml', 'Hỗn dịch uống 250 mg/5 ml']",amoxicillin,j01ca04,khang sinh nhom penicillin.,"['vien nen 250mg', 'vien nen 500mg', 'hon dich uong 125mg/5ml', 'hon dich uong 250mg/5ml']","['amoxil', 'curam', 'augmentin (phoi hop)']","['250mg/5ml', 'amoxicillin', 'amoxil', 'penicillin', 'curam', 'vien', 'augmentin', 'hon', 'j01ca04', 'khang', '250mg', 'dich', 'uong', 'nen', 'phoi', 'nhom', 'sinh', '125mg/5ml', '500mg', 'hop']",[],"{""oral""}",True,,[],Quá mẫn với Penicillin; Nhiễm virus Epstein-Barr (tăng nguy cơ phát ban).,"{""infectious""}"
AMPHOTERICIN B,Thuốc kháng nấm toàn thân.,['Fungizone'],['Bột pha tiêm 50 mg'],amphotericin b,j02aa01,thuoc khang nam toan than.,['bot pha tiem 50mg'],['fungizone'],"['j02aa01', 'than', 'fungizone', 'bot', 'pha', 'thuoc', '50mg', 'tiem', 'nam', 'amphotericin', 'b', 'khang', 'toan']",[],"{""injection""}",False,,['renal_adjust'],Quá mẫn; Suy thận nặng.,"{""infectious""}"
AMPICILLIN,Kháng sinh nhóm Penicillin.,"['Ampicin', 'Penbritin']","['Viên nang 250 mg', 'Viên nang 500 mg', 'Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",ampicillin,j01ca01,khang sinh nhom penicillin.,"['vien nang 250mg', 'vien nang 500mg', 'bot pha tiem 500mg', 'bot pha tiem 1g']","['ampicin', 'penbritin']","['ampicillin', 'nhom', 'vien', 'sinh', 'nang', 'bot', 'pha', 'ampicin', '250mg', 'j01ca01', 'tiem', 'penicillin', '500mg', 'penbritin', 'khang', '1g']",[],"{""oral"",""injection""}",False,,[],Quá mẫn với Penicillin; Nhiễm virus Epstein-Barr.,"{""infectious""}"
APROTININ,Thuốc ức chế tiêu sợi huyết.,['Trasylol'],['Dung dịch tiêm 10.000 KIU/ml'],aprotinin,b02ab01,thuoc uc che tieu soi huyet.,['dung dich tiem 10.000 kiu/ml'],['trasylol'],"['che', 'b02ab01', 'dung', 'thuoc', 'trasylol', 'dich', '10000', 'aprotinin', 'tieu', 'soi', 'tiem', 'huyet', 'uc', 'kiu/ml']",[],"{""injection""}",False,,[],Quá mẫn với Aprotinin hoặc protein bò.,"{""hematology""}"
ASCORBIC ACID,Vitamin.,['Vitamin C'],"['Viên nén 100 mg', 'Viên nén 500 mg', 'Thuốc tiêm 500 mg/2 ml']",ascorbic acid,a11ga01,vitamin.,"['vien nen 100mg', 'vien nen 500mg', 'thuoc tiem 500mg/2ml']",['vitamin c'],"['nen', '100mg', 'vien', '500mg/2ml', 'c', 'acid', 'thuoc', 'a11ga01', 'tiem', 'ascorbic', '500mg', 'vitamin']",[],"{""oral"",""injection""}",False,,['renal_adjust'],Thiếu G6PD; Sỏi thận (liều cao); Tăng oxalat niệu.,{}
ASPIRIN (LIỀU THẤP),Thuốc chống kết tập tiểu cầu.,['Aspirin Protect'],"['Viên nén 81 mg', 'Viên nén 100 mg (bao tan trong ruột)']",aspirin (lieu thap),b01ac06,thuoc chong ket tap tieu cau.,"['vien nen 81mg', 'vien nen 100mg (bao tan trong ruot)']",['aspirin protect'],"['b01ac06', 'ket', 'thap', 'aspirin', '100mg', 'vien', 'tan', 'trong', '81mg', 'tieu', 'tap', 'nen', 'protect', 'cau', 'thuoc', 'lieu', 'bao', 'chong', 'ruot']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; Hen phế quản; Suy gan/thận nặng.,"{""hematology""}"
ATENOLOL,Thuốc chẹn beta chọn lọc.,['Tenormin'],"['Viên nén 50 mg', 'Viên nén 100 mg']",atenolol,c07ab03,thuoc chen beta chon loc.,"['vien nen 50mg', 'vien nen 100mg']",['tenormin'],"['nen', '100mg', 'loc', 'vien', 'beta', 'thuoc', 'chon', 'c07ab03', 'chen', 'atenolol', '50mg', 'tenormin']",[],"{""oral""}",False,,[],"Nhịp chậm xoang, Sốc tim, Suy tim sung huyết không kiểm soát, Block nhĩ thất độ 2/3.","{""cardiology""}"
ATORVASTATIN,Thuốc ức chế HMG-CoA reductase (Statin).,"['Lipitor', 'Ator']","['Viên nén 10 mg', 'Viên nén 20 mg', 'Viên nén 40 mg']",atorvastatin,c10aa05,thuoc uc che hmg-coa reductase (statin).,"['vien nen 10mg', 'vien nen 20mg', 'vien nen 40mg']","['lipitor', 'ator']","['che', 'nen', 'atorvastatin', 'reductase', 'vien', '10mg', 'statin', 'c10aa05', 'thuoc', 'hmgcoa', 'ator', 'uc', '40mg', 'lipitor', '20mg']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']","Bệnh gan tiến triển, tăng transaminase huyết thanh kéo dài không rõ nguyên nhân, có thai, cho con bú.",{}
ATROPINE,Thuốc chống cholinergic; Thuốc giãn đồng tử.,['Atropin'],"['Thuốc tiêm 0', 'Thuốc tiêm 25 mg/ml', 'Viên nén 0', 'Viên nén 5 mg', 'Thuốc nhỏ mắt']",atropine,a03ab04,thuoc chong cholinergic; thuoc gian dong tu.,"['thuoc tiem 0', 'thuoc tiem 25mg/ml', 'vien nen 0', 'vien nen 5mg', 'thuoc nho mat']",['atropin'],"['gian', 'vien', '25mg/ml', 'atropin', 'tu', 'thuoc', 'cholinergic', 'atropine', '0', 'a03ab04', '5mg', 'chong', 'nho', 'dong', 'tiem', 'nen', 'mat']",[],"{""oral"",""injection"",""ophthalmic""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiết niệu hoặc tiêu hóa; Nhược cơ nặng.,"{""gastro""}"
AZATHIOPRINE,Thuốc ức chế miễn dịch.,['Imuran'],['Viên nén 50 mg'],azathioprine,l04ax01,thuoc uc che mien dich.,['vien nen 50mg'],['imuran'],"['azathioprine', 'che', 'l04ax01', 'vien', 'nen', 'imuran', 'thuoc', 'dich', 'mien', 'uc', '50mg']",[],"{""oral""}",False,,[],Có thai; Quá mẫn; Suy tủy nặng.,"{""oncology""}"
AZITHROMYCIN,Kháng sinh nhóm Macrolide.,"['Zithromax', 'Aziclar']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Hỗn dịch uống 200 mg/5 ml']",azithromycin,j01fa10,khang sinh nhom macrolide.,"['vien nen 250mg', 'vien nen 500mg', 'hon dich uong 200mg/5ml']","['zithromax', 'aziclar']","['macrolide', 'j01fa10', 'vien', 'nhom', 'azithromycin', 'zithromax', 'sinh', '200mg/5ml', 'aziclar', '250mg', 'hon', 'dich', 'uong', 'nen', '500mg', 'khang']",[],"{""oral""}",True,,['hepatic_toxic'],Quá mẫn với Macrolide; Suy gan nặng; Loạn nhịp tim (QT kéo dài).,"{""infectious""}"
BACITRACIN,Kháng sinh polypeptide.,['Bacitrin'],['Thuốc mỡ 500 UI/g (thường phối hợp)'],bacitracin,j01xa01,khang sinh polypeptide.,['thuoc mo 500 ui/g (thuong phoi hop)'],['bacitrin'],"['j01xa01', 'thuong', 'sinh', 'bacitracin', 'ui/g', '500', 'thuoc', 'bacitrin', 'polypeptide', 'mo', 'phoi', 'hop', 'khang']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Suy thận (dùng toàn thân).,"{""infectious""}"
BACLOFEN,Thuốc giãn cơ.,['Lioresal'],"['Viên nén 10 mg', 'Viên nén 25 mg']",baclofen,m03bx01,thuoc gian co.,"['vien nen 10mg', 'vien nen 25mg']",['lioresal'],"['10mg', 'gian', 'vien', 'm03bx01', 'co', 'thuoc', 'lioresal', '25mg', 'nen', 'baclofen']",[],"{""oral""}",False,,[],"Loét dạ dày tá tràng, Quá mẫn.","{""neurology""}"
BENZATHINE BENZYLPENICILLIN,Kháng sinh nhóm Penicillin.,['Penicillin G Benzathine'],"['Bột pha tiêm 1', 'Bột pha tiêm 2 triệu UI', 'Bột pha tiêm 2', 'Bột pha tiêm 4 triệu UI']",benzathine benzylpenicillin,j01ce08,khang sinh nhom penicillin.,"['bot pha tiem 1', 'bot pha tiem 2 trieu ui', 'bot pha tiem 2', 'bot pha tiem 4 trieu ui']",['penicillin g benzathine'],"['g', 'nhom', '4', 'sinh', 'benzathine', 'bot', 'pha', 'trieu', '2', 'ui', 'benzylpenicillin', 'tiem', 'penicillin', '1', 'j01ce08', 'khang']",[],"{""injection""}",False,,[],"Quá mẫn với Penicillin, Cephalosporin.","{""infectious""}"
BENZYLPENICILLIN (PENICILLIN G),Kháng sinh nhóm Penicillin.,['Penicillin G'],"['Bột pha tiêm 1 triệu UI', 'Bột pha tiêm 5 triệu UI']",benzylpenicillin (penicillin g),j01ce01,khang sinh nhom penicillin.,"['bot pha tiem 1 trieu ui', 'bot pha tiem 5 trieu ui']",['penicillin g'],"['5', 'g', 'nhom', 'j01ce01', 'sinh', 'bot', 'pha', 'ui', 'benzylpenicillin', 'tiem', 'penicillin', '1', 'trieu', 'khang']",[],"{""injection""}",False,,[],"Quá mẫn với Penicillin, Cephalosporin.","{""infectious""}"
BETAMETHASONE (TOÀN THÂN),Corticosteroid.,['Celestone'],"['Viên nén 0', 'Viên nén 5 mg', 'Thuốc tiêm 4 mg/ml']",betamethasone (toan than),h02ab01,corticosteroid.,"['vien nen 0', 'vien nen 5mg', 'thuoc tiem 4mg/ml']",['celestone'],"['vien', 'than', 'celestone', 'h02ab01', 'betamethasone', '5mg', 'thuoc', 'toan', '0', '4mg/ml', 'tiem', 'nen', 'corticosteroid']",[],"{""oral"",""injection""}",False,,['renal_adjust'],Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"{""endocrinology""}"
BISACODYL,Thuốc nhuận tràng kích thích.,['Dulcolax'],"['Viên nén 5 mg', 'Thuốc đạn 10 mg']",bisacodyl,a06ab02,thuoc nhuan trang kich thich.,"['vien nen 5mg', 'thuoc dan 10mg']",['dulcolax'],"['10mg', 'vien', 'thich', 'dan', 'nhuan', 'bisacodyl', 'a06ab02', 'trang', 'thuoc', '5mg', 'dulcolax', 'kich', 'nen']",[],"{""oral""}",False,,[],"Tắc ruột, đau bụng cấp, mất nước nghiêm trọng.","{""gastro""}"
